x,773,873,973,1023,1073,1123,1173,1223,1273
0.00,300,300,300,300,300,300,300,300,300
0.02,400,503,653,689,726,755,783,793,803
0.05,650,757,873,896,919,959,1000,1048,1095
0.10,750,834,918,965,1013,1057,1101,1151,1200
0.15,762,850,949,1001,1052,1098,1143,1189,1235
0.20,763,869,971,1018,1064,1110,1156,1205,1253
0.25,763,859,954,1001,1047.5,1095,1142.5,1188.5,1233.5
0.30,763,849,937,984,1031,1080,1129,1172,1214
0.35,582,697.5,780,837,894,931,967.5,990.5,1012.5
0.40,440,546,623,690,757,782,806,809,811
0.42,400,400,400,400,400,400,400,400,400
